Date,Predicted Water Usage
2026-01-01,95.4
2026-01-02,95.4
2026-01-03,95.4
2026-01-04,95.4
2026-01-05,95.4
2026-01-06,95.4
2026-01-07,95.4
2026-01-08,95.4
2026-01-09,95.4
2026-01-10,95.4
2026-01-11,95.4
2026-01-12,95.4
2026-01-13,95.4
2026-01-14,95.4
2026-01-15,95.4
2026-01-16,95.4
2026-01-17,95.4
2026-01-18,95.4
2026-01-19,95.4
2026-01-20,95.4
2026-01-21,95.4
2026-01-22,95.4
2026-01-23,95.4
2026-01-24,95.4
2026-01-25,95.4
2026-01-26,95.4
2026-01-27,95.4
2026-01-28,95.4
2026-01-29,95.4
2026-01-30,95.4
